log_id,username,timestamp,no_mfa,mfa_absent,principal_type_prior_risk,principal_type_idx,has_access_key,action_velocity,is_new_action,session_duration_normalized,events_per_minute_normalized,time_sin,time_cos,is_weekend,is_off_hours,action_risk_prior,event_name_idx,event_source_idx,is_write_action,read_only_absent,has_error,is_access_denied,is_iam_event,is_recon_action,is_defense_evasion,is_get_caller_identity,is_malicious_user_agent,is_public_ip,params_length_normalized,targets_sensitive_resource,is_non_default_region,is_create_key,is_secrets_or_kms,is_permission_modification,policy_statement_count_normalized,has_wildcard_action,has_wildcard_resource,privileged_action_reach,label
synthetic_cloudtrail.csv:2209,AWSServiceRoleForEC2,2024-03-24 07:00:19+00:00,1,0,0.01,3,1,1.02,0,0.0,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.0027624309392265192,20,6,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2210,AWSServiceRoleForEC2,2024-03-24 07:00:40+00:00,1,0,0.009986684420772303,3,1,0.9941666666666666,0,0.005833333333333334,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.004622496147919877,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2211,AWSServiceRoleForEC2,2024-03-24 07:01:07+00:00,1,0,0.00997340425531915,3,1,0.9925,0,0.013333333333333334,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.03529411764705882,27,6,1,0,0,0,0,0,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2212,AWSServiceRoleForEC2,2024-03-24 07:01:14+00:00,1,0,0.0099601593625498,3,1,0.9980555555555556,0,0.015277777777777777,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.004615384615384616,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2213,AWSServiceRoleForEC2,2024-03-24 07:01:19+00:00,1,0,0.009946949602122016,3,1,0.9986111111111111,0,0.016666666666666666,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.0027573529411764708,20,6,0,0,1,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2214,AWSServiceRoleForEC2,2024-03-24 07:01:26+00:00,1,0,0.009933774834437087,3,1,0.9980555555555556,0,0.01861111111111111,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.004608294930875576,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2215,AWSServiceRoleForEC2,2024-03-24 07:01:31+00:00,1,0,0.00992063492063492,3,1,0.9986111111111111,0,0.02,1.0,0.9659258262890683,-0.25881904510252063,1,1,0.004601226993865031,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2571,AWSServiceRoleForEC2,2024-04-11 07:00:26+00:00,1,0,0.009689922480620155,3,1,1.0255555555555556,0,0.0,1.0,0.9659258262890683,-0.25881904510252063,0,1,0.004470938897168405,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2572,AWSServiceRoleForEC2,2024-04-11 07:00:38+00:00,1,0,0.00967741935483871,3,1,0.9966666666666667,0,0.0033333333333333335,1.0,0.9659258262890683,-0.25881904510252063,0,1,0.004464285714285714,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
synthetic_cloudtrail.csv:2574,AWSServiceRoleForEC2,2024-04-11 07:01:04+00:00,1,0,0.009664948453608248,3,1,0.9927777777777778,0,0.010555555555555556,1.0,0.9659258262890683,-0.25881904510252063,0,1,0.004457652303120356,23,3,0,0,0,0,0,1,0,0,0,1,0.0026666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
