log_id,source_node,target_node,edge_type,label
invictus_enriched.csv:0,arn:aws:iam::123837392027:user/benjamin,eu-north-1,GetRegionOptStatus,0
invictus_enriched.csv:1,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketLogging,0
invictus_enriched.csv:2,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketPolicy,0
invictus_enriched.csv:3,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketAcl,0
invictus_enriched.csv:4,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketLocation,0
invictus_enriched.csv:5,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketLogging,0
invictus_enriched.csv:6,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketPolicy,0
invictus_enriched.csv:7,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketAcl,0
invictus_enriched.csv:8,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketLocation,0
invictus_enriched.csv:9,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketPolicy,0
invictus_enriched.csv:10,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketLogging,0
invictus_enriched.csv:11,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketLocation,0
invictus_enriched.csv:12,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketAcl,0
invictus_enriched.csv:13,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketLogging,0
invictus_enriched.csv:14,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketAcl,0
invictus_enriched.csv:15,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketPolicy,0
invictus_enriched.csv:16,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketLocation,0
invictus_enriched.csv:17,arn:aws:iam::123837392027:user/benjamin,s3.amazonaws.com,ListBuckets,0
invictus_enriched.csv:18,arn:aws:iam::123837392027:user/benjamin,123837392027.s3-control.us-east-1.amazonaws.com,GetStorageLensConfiguration,0
invictus_enriched.csv:19,arn:aws:iam::123837392027:user/benjamin,arn:aws:s3:us-east-1:123837392027:storage-lens/default-account-dashboard,GetStorageLensDashboardDataInternal,0
invictus_enriched.csv:20,arn:aws:iam::123837392027:user/benjamin,arn:aws:s3:us-east-1:123837392027:storage-lens/default-account-dashboard,GetStorageLensDashboardDataInternal,0
invictus_enriched.csv:21,arn:aws:iam::123837392027:user/benjamin,123837392027.s3-control.us-east-1.amazonaws.com,GetStorageLensConfiguration,0
invictus_enriched.csv:22,arn:aws:iam::123837392027:user/benjamin,aws_service,ListNotificationHubs,0
invictus_enriched.csv:23,arn:aws:iam::123837392027:user/benjamin,eventTypeCategory,DescribeEventAggregates,0
invictus_enriched.csv:24,arn:aws:iam::123837392027:user/benjamin,eventTypeCategory,DescribeEventAggregates,0
invictus_enriched.csv:25,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketAcl,0
invictus_enriched.csv:26,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketPolicyStatus,0
invictus_enriched.csv:27,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,ListAccessPoints,0
invictus_enriched.csv:28,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-quygr,ListAccessPoints,0
invictus_enriched.csv:29,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketPolicyStatus,0
invictus_enriched.csv:30,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketPublicAccessBlock,0
invictus_enriched.csv:31,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,GetBucketAcl,0
invictus_enriched.csv:32,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-e0xdv,GetBucketPublicAccessBlock,0
invictus_enriched.csv:33,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,ListAccessPoints,0
invictus_enriched.csv:34,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-8aukl,ListAccessPoints,0
invictus_enriched.csv:35,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-e0xdv,ListAccessPoints,0
invictus_enriched.csv:36,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketAcl,0
invictus_enriched.csv:37,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketPublicAccessBlock,0
invictus_enriched.csv:38,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketsevidenceeeedc25d-1q9cl0tuy4gbm,GetBucketPolicyStatus,0
invictus_enriched.csv:39,arn:aws:iam::123837392027:user/benjamin,123837392027.s3-control.us-east-1.amazonaws.com,GetAccountPublicAccessBlock,0
invictus_enriched.csv:40,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-8aukl,GetBucketPolicyStatus,0
invictus_enriched.csv:41,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-8aukl,GetBucketAcl,0
invictus_enriched.csv:42,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-quygr,GetBucketPublicAccessBlock,0
invictus_enriched.csv:43,arn:aws:iam::123837392027:user/benjamin,cdktoolkit-stagingbucket-zbvx22khdave,ListAccessPoints,0
invictus_enriched.csv:44,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketPublicAccessBlock,0
invictus_enriched.csv:45,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-e0xdv,GetBucketAcl,0
invictus_enriched.csv:46,arn:aws:iam::123837392027:user/benjamin,baker221b-bucketssecuritylogsbef08b3e-13nrzhi7fcs7w,GetBucketPublicAccessBlock,0
invictus_enriched.csv:47,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-8aukl,GetBucketPublicAccessBlock,0
invictus_enriched.csv:48,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketPolicyStatus,0
invictus_enriched.csv:49,arn:aws:iam::123837392027:user/benjamin,config-bucket-123837392027,GetBucketAcl,0
invictus_enriched.csv:50,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-quygr,GetBucketAcl,0
invictus_enriched.csv:51,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-09-28-pgd48,ListAccessPoints,0
invictus_enriched.csv:52,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-09-28-pgd48,GetBucketPublicAccessBlock,0
invictus_enriched.csv:53,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-09-28-pgd48,GetBucketPolicyStatus,0
invictus_enriched.csv:54,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-09-28-pgd48,GetBucketAcl,0
invictus_enriched.csv:55,arn:aws:iam::123837392027:user/benjamin,invictus-aws-2022-10-27-e0xdv,GetBucketPolicyStatus,0
