log_id,no_mfa,mfa_absent,principal_type_prior_risk,principal_type_idx,has_access_key,action_velocity,is_new_action,session_duration_normalized,events_per_minute_normalized,time_sin,time_cos,is_weekend,is_off_hours,action_risk_prior,event_name_idx,event_source_idx,is_write_action,read_only_absent,has_error,is_access_denied,is_iam_event,is_recon_action,is_defense_evasion,is_get_caller_identity,is_malicious_user_agent,is_public_ip,params_length_normalized,targets_sensitive_resource,is_non_default_region,is_create_key,is_secrets_or_kms,is_permission_modification,policy_statement_count_normalized,has_wildcard_action,has_wildcard_resource,privileged_action_reach,label
invictus_enriched.csv:0,0,1,0.8,2,1,0.0,1,0.0,0.1,0.258819045102521,-0.9659258262890682,0,0,0.1,1,0,0,0,0,0,0,1,0,0,0,0,0.037333333333333336,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:1,0,1,0.8,2,1,0.9986111111111111,1,0.001388888888888889,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,2,4,0,0,0,0,0,1,0,0,0,0,0.22133333333333333,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:2,0,1,0.8,2,1,1.0,1,0.001388888888888889,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,3,4,0,0,0,0,0,1,0,0,0,0,0.22,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:3,0,1,0.8,2,1,0.9997222222222222,1,0.0016666666666666668,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,4,4,0,0,0,0,0,1,0,0,0,0,0.216,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:4,0,1,0.8,2,1,1.0,1,0.0016666666666666668,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,5,4,0,0,0,0,0,1,0,0,0,0,0.15866666666666668,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:5,0,1,0.8,2,1,0.9994444444444445,0,0.0022222222222222222,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,2,4,0,0,0,0,0,1,0,0,0,0,0.232,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:6,0,1,0.8,2,1,1.0,0,0.0022222222222222222,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,3,4,0,0,0,0,0,1,0,0,0,0,0.23066666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:7,0,1,0.8,2,1,1.0,0,0.0022222222222222222,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,4,4,0,0,0,0,0,1,0,0,0,0,0.22666666666666666,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:8,0,1,0.8,2,1,1.0,0,0.0022222222222222222,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,5,4,0,0,0,0,0,1,0,0,0,0,0.164,0,0,0,0,0,0.0,0,0,0.0,0
invictus_enriched.csv:9,0,1,0.8,2,1,0.9991666666666666,0,0.0030555555555555557,1.0,0.258819045102521,-0.9659258262890682,0,0,0.1,3,4,0,0,0,0,0,1,0,0,0,0,0.19333333333333333,0,0,0,0,0,0.0,0,0,0.0,0
