log_id,source_node,target_node,edge_type,label,source_node_degree,edge_interaction_count,source_node_age_normalized,source_privilege_level,source_historical_risk,target_resource_criticality,is_cross_account
synthetic_cloudtrail.csv:0,arn:aws:iam::325967135271:user/qzctcpicnutc,role-tybugq,ListAttachedRolePolicies,0,1,1,0.0,0,0.03,4,0
synthetic_cloudtrail.csv:1,arn:aws:iam::325967135271:user/qzctcpicnutc,role-tzqfre,GetAccountSummary,0,2,1,0.00020833333333333300,0,0.051,4,0
synthetic_cloudtrail.csv:2,arn:aws:iam::325967135271:user/qzctcpicnutc,role-swclqk,ListAccessKeys,0,3,1,0.00024305555555555600,0,0.0657,4,0
synthetic_cloudtrail.csv:3,arn:aws:iam::325967135271:user/qzctcpicnutc,data-jbycug-bucket,ListBuckets,0,4,1,0.00037037037037037000,0,0.106,3,0
synthetic_cloudtrail.csv:4,arn:aws:iam::325967135271:user/qzctcpicnutc,role-hmusdt,UpdateAssumeRolePolicy,1,5,1,0.0004861111111111110,1,0.3742,4,0
synthetic_cloudtrail.csv:5,arn:aws:iam::325967135271:user/qzctcpicnutc,role-hmusdt,AssumeRole,1,6,2,0.0010879629629629600,1,0.4419,2,0
synthetic_cloudtrail.csv:6,arn:aws:iam::325967135271:user/qzctcpicnutc,aws_service,GetUserPolicy,0,7,1,0.0019560185185185200,1,0.3394,4,0
synthetic_cloudtrail.csv:7,arn:aws:iam::325967135271:user/qzctcpicnutc,data-htqqkg-bucket,GetBucketLogging,0,8,1,0.002662037037037040,1,0.2675,3,0
synthetic_cloudtrail.csv:8,arn:aws:iam::325967135271:user/qzctcpicnutc,/app/flcvua/config,DescribeInstanceInformation,0,9,1,0.0036689814814814800,1,0.2173,2,0
synthetic_cloudtrail.csv:9,arn:aws:iam::325967135271:user/qzctcpicnutc,data-zgfuwk-bucket,GetBucketAcl,0,10,1,0.004097222222222220,1,0.1821,3,0
synthetic_cloudtrail.csv:10,arn:aws:iam::325967135271:user/qzctcpicnutc,prod/db/ljneer,GetSecretValue,0,11,1,0.004664351851851850,1,0.3675,5,0
