epoch,train_loss,lr,train_auc_pr,val_auc_pr,select_score,val_accuracy,val_auc_roc,val_f1,val_precision,val_recall,val_threshold,val_n,val_n_pos
1,0.8947399521575254,0.0008,0.9984867645111325,0.9965224106316866,0.8397790055248618,0.9769475357710652,0.9997996259684745,0.8397790055248618,0.7238095238095238,1.0,0.5,1258,76
2,0.5785936730749467,0.0008,0.9999737402620135,0.9971696361783665,0.95,0.9936406995230525,0.9998330216403954,0.95,0.9047619047619048,1.0,0.5,1258,76
3,0.5457017854148266,0.0008,1.0,0.9998291182501708,0.95,0.9936406995230525,0.9999888681093597,0.95,0.9047619047619048,1.0,0.5,1258,76
4,0.5346762619766534,0.0008,0.9999825194308016,1.0,0.9325153374233128,0.9912559618441972,1.0,0.9325153374233128,0.8735632183908046,1.0,0.5,1258,76
5,0.5359600104537665,0.0008,1.0,1.0,0.9743589743589743,0.9968203497615262,1.0,0.9743589743589743,0.95,1.0,0.5,1258,76
6,0.5289369020976272,0.0008,1.0,1.0,0.9806451612903225,0.9976152623211447,1.0,0.9806451612903225,0.9620253164556962,1.0,0.5,1258,76
7,0.525248592098554,0.0008,1.0,0.999829118250171,0.9743589743589743,0.9968203497615262,0.9999888681093597,0.9743589743589743,0.95,1.0,0.5,1258,76
8,0.5210971247916129,0.0008,1.0,0.9998291182501708,0.9743589743589743,0.9968203497615262,0.9999888681093597,0.9743589743589743,0.95,1.0,0.5,1258,76
9,0.5216661399486018,0.0008,1.0,1.0,0.9620253164556962,0.9952305246422893,1.0,0.9620253164556962,0.926829268292683,1.0,0.5,1258,76
10,0.5201098869244257,0.0008,1.0,1.0,0.987012987012987,0.9984101748807631,1.0,0.987012987012987,0.9743589743589743,1.0,0.5,1258,76
11,0.5169957890814426,0.0008,1.0,1.0,0.987012987012987,0.9984101748807631,1.0,0.987012987012987,0.9743589743589743,1.0,0.5,1258,76
12,0.5243981328665042,0.0008,1.0,1.0,0.9743589743589743,0.9968203497615262,1.0,0.9743589743589743,0.95,1.0,0.5,1258,76
13,0.5153192918674618,0.0008,1.0,1.0,0.9806451612903225,0.9976152623211447,1.0,0.9806451612903225,0.9620253164556962,1.0,0.5,1258,76
14,0.5137891719738642,0.0008,1.0,1.0,0.987012987012987,0.9984101748807631,1.0,0.987012987012987,0.9743589743589743,1.0,0.5,1258,76
15,0.5165404651094886,0.0004,1.0,1.0,0.9806451612903225,0.9976152623211447,1.0,0.9806451612903225,0.9620253164556962,1.0,0.5,1258,76
16,0.5132289046750349,0.0004,1.0,1.0,0.9743589743589743,0.9968203497615262,1.0,0.9743589743589743,0.95,1.0,0.5,1258,76
